	train_loss	train_acc_1	train_acc_5	valid_loss	valid_acc_1	valid_acc_5
0	0.075499403324944	0.9741277098655701	1.0	0.07634410585389897	0.9747700208709353	1.0
1	0.08223340032553231	0.9696909814705084	1.0	0.07616724511839834	0.975514068489983	1.0
2	0.0770058074483165	0.9738501207328137	1.0	0.07549990196005887	0.9733495683897109	1.0
3	0.07559367929251841	0.9768283271495207	1.0	0.076770573195776	0.975514068489983	1.0
4	0.07794841459411898	0.9756944444444444	1.0	0.07634320471796756	0.975514068489983	1.0
5	0.07242972077226933	0.9763578367821965	1.0	0.07579334447054618	0.9762581161090306	1.0
6	0.07562595103395942	0.9741512345679012	1.0	0.07598854226760311	0.975514068489983	1.0
7	0.07286936084935326	0.9746217256710853	1.0	0.07515529117553331	0.9747700208709353	1.0
8	0.07557192575876359	0.9756709197421133	1.0	0.0742539946352389	0.9762581161090306	1.0
9	0.07406431210031848	0.9734172688590156	1.0	0.0766529228052093	0.9747700208709353	1.0
